22 M 2:05:41
33 M 2:06:04
22 M 2:06:08
23 M 2:07:06
28 M 2:08:43
26 M 2:10:38
30 M 2:11:09
27 M 2:15:30
21 M 2:15:48
26 M 2:15:48
31 M 2:16:38
33 M 2:17:42
23 M 2:17:56
23 M 2:17:59
28 M 2:18:01
29 M 2:18:51
31 M 2:18:58
27 M 2:19:12
25 M 2:19:16
25 M 2:19:21
23 M 2:20:03
32 M 2:20:04
30 M 2:20:23
25 M 2:20:45
27 M 2:21:17
25 M 2:21:37
38 M 2:21:50
23 M 2:22:00
38 M 2:22:15
26 M 2:22:29
38 M 2:22:39
27 M 2:22:49
25 M 2:22:55
24 M 2:23:17
30 M 2:23:25
26 M 2:23:26
25 M 2:23:33
25 M 2:23:45
34 M 2:23:45
25 M 2:23:53
26 M 2:24:01
35 M 2:24:23
23 M 2:24:38
35 M 2:24:58
28 M 2:25:14
27 M 2:25:15
28 M 2:25:25
25 M 2:25:26
28 M 2:25:30
38 M 2:25:31
24 M 2:25:39
28 M 2:25:48
33 M 2:25:55
31 F 2:25:56
27 M 2:25:57
28 M 2:26:22
22 M 2:26:23
37 F 2:26:31
24 M 2:26:46
35 F 2:26:47
26 F 2:26:56
25 M 2:27:09
27 M 2:27:14
31 M 2:27:30
29 M 2:27:31
28 M 2:27:36
35 M 2:27:36
34 M 2:27:37
26 M 2:28:01
38 M 2:28:30
36 F 2:28:38
28 M 2:28:38
29 M 2:28:44
36 F 2:28:50
29 M 2:29:10
29 F 2:29:22
32 M 2:29:24
28 M 2:29:38
35 M 2:29:42
24 M 2:29:44
29 M 2:29:55
27 M 2:29:57
35 M 2:30:14
24 M 2:30:15
30 M 2:30:26
27 M 2:30:35
50 M 2:30:52
26 M 2:30:59
28 M 2:31:11
26 M 2:31:18
23 M 2:31:32
26 M 2:31:50
29 M 2:31:53
31 M 2:31:56
25 M 2:32:20
26 M 2:32:26
23 M 2:32:31
25 M 2:32:33
23 M 2:32:37
31 M 2:32:42
28 M 2:32:43
27 F 2:32:55
40 M 2:32:55
22 M 2:32:59
28 F 2:32:59
42 M 2:33:03
32 M 2:33:05
33 M 2:33:16
29 M 2:33:19
25 M 2:33:28
35 M 2:33:29
26 M 2:33:36
24 M 2:33:37
28 M 2:33:38
23 M 2:33:38
26 M 2:33:40
23 M 2:33:43
32 M 2:33:46
30 M 2:33:48
28 M 2:33:53
39 M 2:33:56
22 M 2:34:03
40 M 2:34:04
29 F 2:34:07
27 M 2:34:35
23 M 2:34:51
27 M 2:34:58
32 M 2:35:01
24 M 2:35:03
36 M 2:35:05
34 F 2:35:36
22 M 2:35:43
24 M 2:35:51
25 M 2:35:54
40 M 2:36:09
37 M 2:36:20
24 M 2:36:26
37 M 2:36:30
42 M 2:36:33
35 M 2:36:34
36 M 2:36:35
33 M 2:36:41
22 M 2:36:54
25 M 2:36:56
34 M 2:36:56
30 M 2:37:08
