CASEID,COMPWT,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID
21911,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,0,2,0,    0,2, 0,  0,0,2,0,    0
21912,5.30000000000000027e-01, 1,50,  0,3, 1,50,  0,3,1,50,  0,3,3,0,    0,0, 0,  0, ,0,0,    0
21913,1.59000000000000008e+00, 1,35,  0,2, 1,34,  0,2,2, 0,  0,2,2,0,    0,1,34,  0,3,2,0,    0
21914,1.06000000000000005e+00, 1,30,  0,2, 1,30,  0,2,1,30,  0,2,2,0,    0,1,30,  0,2,2,0,    0
21915,5.30000000000000027e-01, 1,22,  0,3, 1,22,  0,3,1,22,  0,7,3,0,    0,1,22,  0,7,3,0,    0
21916,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,0,2,0,    0,2, 0,  0,4,2,0,    0
21917,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0
21918,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0
21919,1.59000000000000008e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,3,2,0,    0,2, 0,  0,3,2,0,    0
21920,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,5,2,0,    0,0, 0,  0, ,0,0,    0
21921,1.06000000000000005e+00, 5, 0,  0,9, 5, 0,  0,9,5, 0,  0,5,9,0,    0,5, 0,  0,8,9,0,    0
21922,1.06000000000000005e+00, 1,41,  0,3, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0
21923,1.06000000000000005e+00, 1,41,  0,3, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0
21924,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,6,2,0,    0,2, 0,  0,7,2,0,    0
21925,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0
21926,1.06000000000000005e+00, 1,31,  0,2, 1,31,  0,2,1,31,  0,7,2,0,    0,1,31,  0,7,2,0,    0
21927,1.59000000000000008e+00, 1,42,  0,1, 2, 0,  0,2,2, 0,  0,0,2,0,    0,2, 0,  0,7,2,0,    0
21928,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,0,2,0,    0,2, 0,  0,4,2,0,    0
21929,5.30000000000000027e-01, 1,60, 64,1, 1,60, 64,1,4, 0,  0,0,3,0,    0,4, 0,  0,0,3,0,    0
21930,1.06000000000000005e+00, 1,22,  0,3, 1,60, 33,1,0, 0,  0, ,0,0,    0,4, 0,  0,0,3,0,    0
21931,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,5,2,0,    0,2, 0,  0,5,2,0,    0
21932,5.30000000000000027e-01, 1,50,  0,3, 1,50,  0,3,0, 0,  0, ,0,0,    0,1,50,  0,7,3,0,    0
21933,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,1,99,999,1,9,0,    0,0, 0,  0, ,0,0,    0
21934,5.30000000000000027e-01, 4, 0,  0,3, 2, 0,  0,2,4, 0,  0,2,3,0,    0,2, 0,  0,2,2,0,    0
21935,1.06000000000000005e+00, 5, 0,  0,9, 5, 0,  0,9,5, 0,  0,8,9,0,    0,5, 0,  0,8,9,0,    0
21936,5.30000000000000027e-01, 2, 0,  0,2, 4, 0,  0,3,4, 0,  0,0,3,0,    0,2, 0,  0,3,2,0,    0
21937,5.30000000000000027e-01, 1,60, 78,1, 1,18,  0,1,0, 0,  0, ,0,0,    0,1,18,  0,7,1,0,    0
21938,1.06000000000000005e+00, 1,60, 14,1, 1,18,  0,1,0, 0,  0, ,0,0,    0,1,18,  0,5,1,0,    0
21939,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,4, 0,  0,0,3,0,    0,1,18,  0,2,1,0,    0
21940,1.06000000000000005e+00, 5, 0,  0,9, 5, 0,  0,9,5, 0,  0,8,9,0,    0,5, 0,  0,7,9,0,    0
21941,1.06000000000000005e+00, 1,70,  0,2, 1,70,  0,2,1,70,  0,2,2,0,    0,1,70,  0,2,2,0,    0
