CASEID,YEAR,VERSION,COMPWT,SEX,AGE,RACE,SRCBELT,RELIG,RELIG16,DENOM16,PARELIG,PARELKID,MARELIG,MARELKID,SPREL,EDUC,SEI,INCOME,RINCOME,INTRHOME,COMPUSE,WEBMOB,WEBTV,EMAILHR,EMAILMIN,USEWWW,WWWHR,WWWMIN
38155,2000,4,5.50000000000000044e-01,1,29,1,1, 2, 2, 0,0,0,0,0, 0,16,83.7,12,12,0,1,0,0,  6, 0,1,  2, 0
38156,2000,5,5.50000000000000044e-01,2,57,1,1, 1, 1,14,0,0,0,0, 0,13,64.2,13,13,0,2,0,2, -1,-1,0, -1,-1
38157,2000,1,1.10000000000000009e+00,2,31,1,1, 4, 2, 0,0,0,0,0, 0,16,50.5,12,11,0,1,0,0,  2, 0,1,  3, 0
38158,2000,3,1.10000000000000009e+00,2,45,1,1, 2, 1,13,0,0,0,0, 0,14,78.7,12,12,0,0,0,0, -1,-1,0, -1,-1
38159,2000,6,1.10000000000000009e+00,1,36,2,1, 4, 1,18,0,0,0,0, 0,12,29.4,98,10,0,2,0,2, -1,-1,0, -1,-1
38160,2000,5,5.50000000000000044e-01,1,52,1,1, 5, 1,14,0,0,0,0, 0,19,82.7, 8, 0,0,2,0,2, -1,-1,0, -1,-1
38161,2000,2,1.10000000000000009e+00,1,26,1,1, 4, 2, 0,0,0,0,0, 0,14,32.4,12,12,0,1,0,0,  1, 0,1,  4, 0
38162,2000,3,1.10000000000000009e+00,2,46,1,3, 2, 2, 0,0,0,0,0, 0, 6,22.5, 9, 9,0,0,0,0, -1,-1,0, -1,-1
38163,2000,1,1.10000000000000009e+00,1,65,1,3, 1, 1,14,0,0,0,0, 0,18,61.9,12,12,0,2,0,2, -1,-1,0, -1,-1
38164,2000,2,1.10000000000000009e+00,2,52,1,3, 1, 1,40,0,0,0,0, 0,12,22.6,12, 3,0,1,0,0,  3, 0,1,  3, 0
38165,2000,4,1.64999999999999991e+00,2,56,1,3, 1, 2, 0,0,0,0,0, 0,16,68.1,12,12,0,1,0,0,  2, 0,1,  0,30
38166,2000,5,1.10000000000000009e+00,1,66,1,3, 1, 1,14,0,0,0,0, 0,16,73.6,12,12,0,1,0,0, 10, 0,1,  6, 0
38167,2000,5,1.10000000000000009e+00,1,20,1,3, 1, 1,28,0,0,0,0, 0,11,46.8,12,10,0,1,0,0,  0, 0,1,  2, 0
38168,2000,3,1.10000000000000009e+00,2,64,1,3, 1, 1,28,0,0,0,0, 0,16,80.3,12, 5,0,0,0,0, -1,-1,0, -1,-1
38169,2000,3,1.10000000000000009e+00,1,59,1,2, 1, 1,22,0,0,0,0, 0,16,63.5,12,12,0,0,0,0, -1,-1,0, -1,-1
38170,2000,5,2.20000000000000018e+00,2,46,1,2, 1, 1,14,0,0,0,0, 0,13,50.7,12, 0,0,2,0,2, -1,-1,0, -1,-1
38171,2000,5,1.10000000000000009e+00,1,26,3,2, 4, 5, 0,0,0,0,0, 0,15,33.1,12, 9,0,2,0,2, -1,-1,0, -1,-1
38172,2000,6,5.50000000000000044e-01,2,39,2,2, 4, 1,18,0,0,0,0, 0,12,38.4,98,98,0,1,0,0,  0, 0,1,  0,30
38173,2000,4,1.10000000000000009e+00,2,51,1,2, 1, 1,18,0,0,0,0, 0,12,31.4,11,11,0,1,0,0,  1, 0,1,  1, 0
38174,2000,1,5.50000000000000044e-01,2,45,1,2, 1, 1,41,0,0,0,0, 0,18,80.3,12,12,0,1,0,0,  5, 0,1,  2, 0
38175,2000,4,1.10000000000000009e+00,2,23,1,2, 1, 5, 0,0,0,0,0, 0,16,50.5, 2, 2,0,1,0,0,  7, 0,1,  0,20
